pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
53.75,-114.25,180.0,top,D1,,,LED_D5.0mm,R_{1},tht
100.21,-51.25,0.0,top,D10,,,LED_D5.0mm,F_{E},tht
53.75,-74.25,180.0,top,D11,,,LED_D5.0mm,R_{6},tht
109.75,-51.25,0.0,top,D12,,,LED_D5.0mm,F_{F},tht
53.75,-66.25,180.0,top,D13,,,LED_D5.0mm,R_{7},tht
119.75,-51.25,0.0,top,D14,,,LED_D5.0mm,F_{G},tht
53.75,-58.25,180.0,top,D15,,,LED_D5.0mm,R_{8},tht
129.75,-51.25,0.0,top,D16,,,LED_D5.0mm,F_{H},tht
171.04,-51.12,180.0,top,D17,,,LED_D5.0mm,WHITE,tht
171.04,-58.12,180.0,top,D18,,,LED_D5.0mm,BLACK,tht
171.04,-65.12,180.0,top,D19,,,LED_D5.0mm,2ndF,tht
59.75,-51.25,0.0,top,D2,,,LED_D5.0mm,F_{A},tht
171.04,-72.12,180.0,top,D20,,,LED_D5.0mm,CHECK,tht
171.04,-79.12,180.0,top,D21,,,LED_D5.0mm,MATE,tht
53.75,-106.25,180.0,top,D3,,,LED_D5.0mm,R_{2},tht
70.21,-51.25,0.0,top,D4,,,LED_D5.0mm,F_{B},tht
53.75,-98.25,180.0,top,D5,,,LED_D5.0mm,R_{3},tht
80.21,-51.25,0.0,top,D6,,,LED_D5.0mm,F_{C},tht
53.75,-90.25,180.0,top,D7,,,LED_D5.0mm,R_{4},tht
89.75,-51.25,0.0,top,D8,,,LED_D5.0mm,F_{D},tht
53.75,-82.25,180.0,top,D9,,,LED_D5.0mm,R_{5},tht
191.5,-95.04,0.0,top,J1,,,PinHeader_2x09_P2.54mm_Vertical,Conn_02x09_Counter_Clockwise,tht
192.5,-74.01,180.0,top,J2,,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08,tht
143.23,-54.84,-90.0,top,Q1,,,TO-92L,KSA992,tht
154.77,-57.4,90.0,top,Q2,,,TO-92L,KSA992,tht
147.5,-51.12,180.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1KΩ,tht
174.23,-72.12,0.0,top,R10,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1.8KΩ,tht
174.23,-79.12,0.0,top,R11,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1.8KΩ,tht
150.69,-51.12,0.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1KΩ,tht
147.5,-61.12,180.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
139.88,-65.12,0.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
158.31,-61.12,180.0,top,R5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
158.31,-65.12,180.0,top,R6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
174.23,-51.12,0.0,top,R7,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1.8KΩ,tht
174.23,-58.12,0.0,top,R8,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1.8KΩ,tht
174.23,-65.12,0.0,top,R9,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1.8KΩ,tht
141.25,-102.03,90.0,top,RN1,,,R_Array_SIP11,15KΩ,tht
57.75,-56.25,0.0,top,SW1,,,SW_PUSH_6mm,A8,tht
67.75,-64.25,0.0,top,SW10,,,SW_PUSH_6mm,B7,tht
77.75,-64.25,0.0,top,SW11,,,SW_PUSH_6mm,C7,tht
87.75,-64.25,0.0,top,SW12,,,SW_PUSH_6mm,D7,tht
97.75,-64.25,0.0,top,SW13,,,SW_PUSH_6mm,E7,tht
107.75,-64.25,0.0,top,SW14,,,SW_PUSH_6mm,F7,tht
117.75,-64.25,0.0,top,SW15,,,SW_PUSH_6mm,G7,tht
127.75,-64.25,0.0,top,SW16,,,SW_PUSH_6mm,H7,tht
